dataset_name,adaptation_method,run_name,model_name,image_size,batch_size,probe_batch_size,data_fraction,dataset_seed,normalize_features,train_trial_id,lr,weight_decay,epoch,train_loss,train_mean_accuracy,train_f1_macro,train_f1_micro,val_loss,val_mean_auc,val_mean_accuracy,val_exact_match_accuracy,val_f1_macro,val_f1_micro,train_epoch_seconds,val_eval_seconds,epoch_seconds
chestmnist,linear_probe,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,1,0.6163769346825323,0.9390097146061362,0.008898826595502816,0.009754511461550968,0.5511875120764036,0.5372516880375323,0.94920606623967,0.5418486496122649,0.0,0.0,1.0656713070347905,0.22493738308548927,2.1365153349470347
chestmnist,linear_probe,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,2,0.4998388591360571,0.9485686612923195,0.0,0.0,0.45268600652090146,0.5439285920001088,0.94920606623967,0.5418486496122649,0.0,0.0,0.9881843631155789,0.21398239908739924,1.8035004630219191
chestmnist,linear_probe,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,3,0.41601178867527544,0.9485686612923195,0.0,0.0,0.3821076388154632,0.5466999747985847,0.94920606623967,0.5418486496122649,0.0,0.0,0.9943017680197954,0.23145125107839704,1.9914524899795651
chestmnist,linear_probe,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,4,0.35607058333652963,0.9485686612923195,0.0,0.0,0.3315519364199565,0.5485726059553934,0.94920606623967,0.5418486496122649,0.0,0.0,0.9995335170533508,0.2169354730285704,1.8965591890737414
chestmnist,linear_probe,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,5,0.3129950887251321,0.9485686612923195,0.0,0.0,0.2950061672229437,0.5502661385805345,0.94920606623967,0.5418486496122649,0.0,0.0,0.9989453800953925,0.21678357385098934,1.8292194120585918
chestmnist,linear_probe,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,6,0.28173752329993296,0.9485686612923195,0.0,0.0,0.2682717130861878,0.5519152780458222,0.94920606623967,0.5418486496122649,0.0,0.0,0.9958425930235535,0.21605196804739535,1.838553535984829
chestmnist,linear_probe,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,7,0.2587524245735665,0.9485686612923195,0.0,0.0,0.24843861394567554,0.5535961368497021,0.94920606623967,0.5418486496122649,0.0,0.0,0.987849083961919,0.2141187828965485,1.816935557872057
chestmnist,linear_probe,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,8,0.24162101814729478,0.9485686612923195,0.0,0.0,0.23351427203183592,0.5552453192423698,0.94920606623967,0.5418486496122649,0.0,0.0,0.9898375039920211,0.5383317440282553,2.142006847076118
chestmnist,linear_probe,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,9,0.22867383841661987,0.9485686612923195,0.0,0.0,0.22213610661668418,0.5569010541233358,0.94920606623967,0.5418486496122649,0.0,0.0,0.9996991960797459,0.21504928590729833,1.8314463559072465
chestmnist,linear_probe,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,10,0.21877425876835127,0.9485686612923195,0.0,0.0,0.2133703338533005,0.5585838371846789,0.94920606623967,0.5418486496122649,0.0,0.0,0.8999524081591517,0.18496108800172806,1.772383188130334
