dataset_name,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,neighbor_fraction,classes_with_positive_train_examples,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,10-img,0,10,5,0.05,1,0.5,2,0.5019495757468997,0.9015382068684502,0.1553614404135841,0.02264982383947198,0.1674293405114401
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,10-img,1,10,5,0.05,1,0.5,5,0.5214416828069321,0.7270828823551883,0.0008913450396648543,0.06210579595240715,0.1866960118392593
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,10-img,2,10,5,0.05,1,0.5,5,0.5227459863505104,0.8162937873250736,0.0483109011498351,0.05622227166562247,0.16971685082872928
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,10-img,3,10,5,0.05,1,0.5,5,0.5022015138921422,0.8004405791196058,0.12487744005704608,0.05641451200738578,0.1770636420919975
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,10-img,4,10,5,0.05,1,0.5,3,0.4992722582553199,0.9117950415748793,0.43515464836438184,0.016867558516806786,0.04966387707504459
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,10-img,5,10,5,0.05,1,0.5,5,0.517805040267327,0.7480040237861791,0.003565380158659417,0.04763954350314751,0.10581962768841496
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,10-img,6,10,5,0.05,1,0.5,8,0.5151143880765424,0.793609056065603,0.0031197076388269898,0.06153526095338178,0.09598706043113304
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,10-img,7,10,5,0.05,1,0.5,3,0.496609798739265,0.8796811531458114,0.09671093680363668,0.025382509431169275,0.07025484601003641
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,10-img,8,10,5,0.05,1,0.5,6,0.521740303798902,0.811671526619383,0.008824315892682058,0.07439364930804256,0.17631989307195367
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,10-img,9,10,5,0.05,1,0.5,7,0.5160291663143902,0.6901493639616467,0.0002674035118994563,0.0675848503696698,0.13201590896930568
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,20-img,0,20,5,0.05,1,0.25,6,0.5252491748634498,0.8016120611717367,0.06533559140743382,0.06308689963168675,0.16236559139784945
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,20-img,1,20,5,0.05,1,0.25,9,0.5619819223657287,0.7363974380196859,0.0019609590872626793,0.09670852014813734,0.18203370409151076
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,20-img,2,20,5,0.05,1,0.25,9,0.5295503521361924,0.8434798110348517,0.05784829307424904,0.090236171590055,0.19528641571194763
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,20-img,3,20,5,0.05,1,0.25,5,0.5191070626021868,0.9162708670240537,0.4288260985827614,0.06612861280533196,0.2027280994240679
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,20-img,4,20,5,0.05,1,0.25,8,0.524960263670254,0.7922720385061056,0.0910954630537481,0.06845650556264968,0.14263565891472868
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,20-img,5,20,5,0.05,1,0.25,6,0.5335228501599419,0.8427285345014198,0.1521525982707906,0.05840732384636404,0.11816364415250608
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,20-img,6,20,5,0.05,1,0.25,10,0.5274070226967451,0.8385519463155616,0.1412781887868794,0.08806795206222227,0.15507130481140877
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,20-img,7,20,5,0.05,1,0.25,8,0.4939102863240189,0.84596921039563,0.07808182547464124,0.04652840396713269,0.08578014586403658
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,20-img,8,20,5,0.05,1,0.25,7,0.520071620816122,0.8492035195395566,0.09332382565291024,0.08036796640174507,0.19150025601638504
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,20-img,9,20,5,0.05,1,0.25,8,0.5226455895348047,0.7783797893879006,0.012657099563240931,0.07435401121273397,0.15620682132208566
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,0,25,5,0.05,1,0.2,6,0.5258033055372543,0.8343944583805535,0.13414742846956057,0.06348184749025554,0.16085427622027937
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,1,25,5,0.05,1,0.2,9,0.5633004954522691,0.7789145964116997,0.017024690257598715,0.10103706712718151,0.19526778058445923
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,2,25,5,0.05,1,0.2,9,0.5317271481044579,0.8379152712872296,0.040645333808717356,0.0944387313905241,0.2019936054165883
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,3,25,5,0.05,1,0.2,9,0.5226094105224747,0.8909375676467216,0.32266690435867723,0.08010492512803712,0.17126269956458637
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,4,25,5,0.05,1,0.2,8,0.5254634085480793,0.8081889142144066,0.11899456279525804,0.06902805825879901,0.1465197314371512
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,5,25,5,0.05,1,0.2,7,0.5278211452204166,0.812129932639782,0.04011052678491844,0.07271453675182901,0.15619102087503575
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,6,25,5,0.05,1,0.2,10,0.5290785250068083,0.8288426521334981,0.07407077279614939,0.08544396906092515,0.16768321000650174
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,25-img,7,25,5,0.05,1,0.2,8,0.4936766483716405,0.8535329097322145,0.08761921739905518,0.04921236925943408,0.10427130786901842
