dataset_name,adaptation_method,run_name,model_name,image_size,batch_size,probe_batch_size,data_fraction,dataset_seed,normalize_features,train_trial_id,lr,weight_decay,trial_id,epoch,epochs,threshold,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro,loss,head_train_seconds,train_wall_seconds,checkpoint_eval_seconds,threshold_search_seconds,head_total_params,head_trainable_params
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.005,0.5508987943224474,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5693427168575984,84.29834003816359,176.10404021013528,0.1943147392012179,1.3610156700015068,10766,10766
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.01,0.5508987943224474,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5693427168575984,84.29834003816359,176.10404021013528,0.1943147392012179,1.3610156700015068,10766,10766
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.02,0.5508987943224474,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5693427168575984,84.29834003816359,176.10404021013528,0.1943147392012179,1.3610156700015068,10766,10766
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.03,0.5508987943224474,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5693427168575984,84.29834003816359,176.10404021013528,0.1943147392012179,1.3610156700015068,10766,10766
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.04,0.5508987943224474,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5693427168575984,84.29834003816359,176.10404021013528,0.1943147392012179,1.3610156700015068,10766,10766
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.05,0.5508987943224474,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5693427168575984,84.29834003816359,176.10404021013528,0.1943147392012179,1.3610156700015068,10766,10766
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.07,0.5508987943224474,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5693427168575984,84.29834003816359,176.10404021013528,0.1943147392012179,1.3610156700015068,10766,10766
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.1,0.5508987943224474,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5693427168575984,84.29834003816359,176.10404021013528,0.1943147392012179,1.3610156700015068,10766,10766
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.15,0.5508987943224474,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5693427168575984,84.29834003816359,176.10404021013528,0.1943147392012179,1.3610156700015068,10766,10766
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.2,0.5508987943224474,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5693427168575984,84.29834003816359,176.10404021013528,0.1943147392012179,1.3610156700015068,10766,10766
