dataset_name,adaptation_method,run_name,model_name,image_size,batch_size,probe_batch_size,data_fraction,dataset_seed,normalize_features,train_trial_id,lr,weight_decay,epoch,train_loss,train_mean_accuracy,train_f1_macro,train_f1_micro,val_loss,val_mean_auc,val_mean_accuracy,val_exact_match_accuracy,val_f1_macro,val_f1_micro,train_epoch_seconds,val_eval_seconds,epoch_seconds
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,1,0.6297364782173772,0.9134469738346478,0.026150779747316142,0.04334396474529887,0.5693427168575984,0.5508987943224474,0.94920606623967,0.5418486496122649,0.0,0.0,1.1835068289656192,0.1943147392012179,2.0931448300834745
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,2,0.5205653917217021,0.9485686612923195,0.0,0.0,0.47512719683048293,0.5581356386885792,0.94920606623967,0.5418486496122649,0.0,0.0,0.7861986770294607,0.18743678811006248,1.5750731299631298
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,3,0.43890159075526447,0.9485686612923195,0.0,0.0,0.4049546043283534,0.5622598568035289,0.94920606623967,0.5418486496122649,0.0,0.0,0.7841215999796987,0.18745553703047335,1.570630061905831
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,4,0.3782104744534187,0.9485686612923195,0.0,0.0,0.3527707298741917,0.5658015177001637,0.94920606623967,0.5418486496122649,0.0,0.0,0.7804392969701439,0.19147518603131175,1.5800841320306063
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,5,0.3330503896987055,0.9485686612923195,0.0,0.0,0.31380997308754793,0.5692338340093784,0.94920606623967,0.5418486496122649,0.0,0.0,0.7775240670889616,0.1871459330432117,1.5696811021771282
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,6,0.29926431184211943,0.9485686612923195,0.0,0.0,0.28451458611306857,0.5726118112259473,0.94920606623967,0.5418486496122649,0.0,0.0,0.8753827230539173,0.1900493570137769,1.6704686149023473
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,7,0.273757856931138,0.9485686612923195,0.0,0.0,0.2622336020724894,0.5761053957748591,0.94920606623967,0.5418486496122649,0.0,0.0,0.7743080039508641,0.18682559207081795,1.5738381759729236
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,8,0.2543110551500853,0.9485686612923195,0.0,0.0,0.24513576836076603,0.579593060994341,0.94920606623967,0.5418486496122649,0.0,0.0,0.7841308559291065,0.1870663498993963,1.5870936659630388
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,9,0.23932596867788322,0.9485686612923195,0.0,0.0,0.2318689699985943,0.583107864745936,0.94920606623967,0.5418486496122649,0.0,0.0,0.7792148620355874,0.18790405406616628,1.5820478899404407
chestmnist,linear_probe,rad_dino_518,microsoft/rad-dino,518,8,512,1.0,0,True,train_trial_000,0.0001,0.0,10,0.2276503148626806,0.9485686612923195,0.0,0.0,0.22144151627034553,0.5866117964239133,0.94920606623967,0.5418486496122649,0.0,0.0,0.7819070869591087,0.18625325709581375,1.5736143318936229
