dataset_name,adaptation_method,run_name,model_name,image_size,batch_size,probe_batch_size,data_fraction,dataset_seed,normalize_features,train_trial_id,lr,weight_decay,epoch,train_loss,train_mean_accuracy,train_f1_macro,train_f1_micro,val_loss,val_mean_auc,val_mean_accuracy,val_exact_match_accuracy,val_f1_macro,val_f1_micro,train_epoch_seconds,val_eval_seconds,epoch_seconds
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,1,0.6182635269404709,0.9328361333828532,0.014448267599777362,0.019976888440235367,0.5525508977925037,0.5312748735359202,0.9491996994893867,0.5418486496122649,0.0,0.0,0.9355851241853088,0.19997852412052453,1.9730788480956107
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,2,0.5016995985606896,0.9485686612923195,0.0,0.0,0.4539895839514351,0.5332665125401248,0.94920606623967,0.5418486496122649,0.0,0.0,0.7923967558890581,0.18619292881339788,1.5817643280606717
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,3,0.4181141167075443,0.9485686612923195,0.0,0.0,0.3836325889725408,0.5338941910203381,0.94920606623967,0.5418486496122649,0.0,0.0,0.7878244000021368,0.1876406620722264,1.5904949409887195
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,4,0.35848342480417383,0.9485686612923195,0.0,0.0,0.3333830282574234,0.5342291115478589,0.94920606623967,0.5418486496122649,0.0,0.0,0.8048991749528795,0.2025250899605453,1.745608631055802
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,5,0.31568351732838035,0.9485686612923195,0.0,0.0,0.29712613999222,0.5345780259223566,0.94920606623967,0.5418486496122649,0.0,0.0,0.8309750950429589,0.20614170306362212,1.7981849359348416
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,6,0.28463215049985363,0.9485686612923195,0.0,0.0,0.27062908033868166,0.5349841330413133,0.94920606623967,0.5418486496122649,0.0,0.0,0.8669005990959704,0.18936215108260512,1.7002087249420583
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,7,0.26178308850904486,0.9485686612923195,0.0,0.0,0.25097791565002225,0.5354951603734632,0.94920606623967,0.5418486496122649,0.0,0.0,1.0636167249176651,0.19099560286849737,1.8768529309891164
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,8,0.24472929161140153,0.9485686612923195,0.0,0.0,0.23618362463458845,0.5360045020812582,0.94920606623967,0.5418486496122649,0.0,0.0,0.8369687381200492,0.21659601014107466,1.7050119889900088
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,9,0.23181648764043564,0.9485686612923195,0.0,0.0,0.22489795420155803,0.536612551910272,0.94920606623967,0.5418486496122649,0.0,0.0,0.8276511409785599,0.1879598710220307,1.6329596089199185
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,10,0.22191903724937548,0.9485686612923195,0.0,0.0,0.21619120516213028,0.5372892932790408,0.94920606623967,0.5418486496122649,0.0,0.0,0.7732320257928222,0.18743077293038368,1.5830727040302008
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,11,0.21423017307101888,0.9485686612923195,0.0,0.0,0.20937533095533467,0.5380125290264827,0.94920606623967,0.5418486496122649,0.0,0.0,0.838255719980225,0.20091229514218867,1.6804840918630362
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,12,0.20818966275500056,0.9485686612923195,0.0,0.0,0.20398803187708706,0.538742382884639,0.94920606623967,0.5418486496122649,0.0,0.0,0.8108362639322877,0.20060631283558905,1.631447589956224
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,13,0.20339773123390834,0.9485686612923195,0.0,0.0,0.1996850002862859,0.5395445868888796,0.94920606623967,0.5418486496122649,0.0,0.0,1.0990210501477122,0.1868216278962791,1.8991276980377734
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,14,0.19955806538144363,0.9485686612923195,0.0,0.0,0.19622715618433145,0.5403639600412989,0.94920606623967,0.5418486496122649,0.0,0.0,0.8125222630333155,0.19076759298332036,1.6591817061416805
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,15,0.1964574341947602,0.9485686612923195,0.0,0.0,0.1934201655960389,0.5412341748365617,0.94920606623967,0.5418486496122649,0.0,0.0,0.7404073448851705,0.18462338508106768,1.5320952981710434
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,16,0.19393420612364787,0.9485686612923195,0.0,0.0,0.19111976575241527,0.5421538932319512,0.94920606623967,0.5418486496122649,0.0,0.0,0.7585053539369255,0.1844154540449381,1.5555279329419136
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,17,0.19186010398303002,0.9485686612923195,0.0,0.0,0.18922387691347003,0.5431389843261014,0.94920606623967,0.5418486496122649,0.0,0.0,0.756570084951818,0.1845304910093546,1.5445876899175346
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,18,0.1901493758911167,0.9485686612923195,0.0,0.0,0.18765477979976933,0.5441745915219657,0.94920606623967,0.5418486496122649,0.0,0.0,0.8193025339860469,0.18404991505667567,1.5960137869697064
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,19,0.1887256192738367,0.9485686612923195,0.0,0.0,0.18633917713613687,0.5452388845775367,0.94920606623967,0.5418486496122649,0.0,0.0,0.9612476448528469,0.1844123990740627,1.7477137169335037
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,20,0.18753181082679024,0.9485686612923195,0.0,0.0,0.1852338687614787,0.5463670989151165,0.94920606623967,0.5418486496122649,0.0,0.0,0.7536453620996326,0.1845055629964918,1.53237936203368
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,21,0.18652310494895424,0.9485686612923195,0.0,0.0,0.1842968750949934,0.5475268781625384,0.94920606623967,0.5418486496122649,0.0,0.0,0.7551437949296087,0.18475534487515688,1.542949415044859
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,22,0.18566632112739295,0.9485686612923195,0.0,0.0,0.183497037811281,0.548786446140848,0.94920606623967,0.5418486496122649,0.0,0.0,0.7541420790366828,0.18458572402596474,1.5338020138442516
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,23,0.1849302849661364,0.9485686612923195,0.0,0.0,0.18280662769689654,0.5500784831597115,0.94920606623967,0.5418486496122649,0.0,0.0,0.7484011680353433,0.18429206195287406,1.535713350167498
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,24,0.18429576383715907,0.9485686612923195,0.0,0.0,0.18221139840098327,0.5514392160507832,0.94920606623967,0.5418486496122649,0.0,0.0,0.826685877982527,0.18457551207393408,1.6208742018789053
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,25,0.18374104307819264,0.9485686612923195,0.0,0.0,0.18169154763641454,0.55286049146892,0.94920606623967,0.5418486496122649,0.0,0.0,0.7624254699330777,0.4417275919113308,1.801759404828772
