dataset_name,adaptation_method,run_name,model_name,image_size,batch_size,probe_batch_size,data_fraction,dataset_seed,normalize_features,train_trial_id,lr,weight_decay,trial_id,epoch,epochs,threshold,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro,loss,head_train_seconds,train_wall_seconds,checkpoint_eval_seconds,threshold_search_seconds,head_total_params,head_trainable_params
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.005,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.01,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.02,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.03,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.04,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.05,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.07,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.1,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.15,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.2,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.3,0.5312748735359202,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_001,1,1,0.5,0.5312748735359202,0.9491996994893867,0.5418486496122649,0.0,0.0,0.5525508977925037,82.03958707372658,172.6508462720085,0.19997852412052453,1.3526221390347928,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_002,2,2,0.005,0.5332665125401248,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.4539895839514351,82.03958707372658,172.6508462720085,0.18619292881339788,1.338063727132976,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_002,2,2,0.01,0.5332665125401248,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.4539895839514351,82.03958707372658,172.6508462720085,0.18619292881339788,1.338063727132976,14350,14350
chestmnist,linear_probe,dinov2_large_224,facebook/dinov2-large,224,16,512,1.0,0,True,train_trial_000,0.0001,0.0,train_trial_000_epoch_002,2,2,0.02,0.5332665125401248,0.050793933760330034,0.0,0.09299941954219755,0.09667724970310948,0.4539895839514351,82.03958707372658,172.6508462720085,0.18619292881339788,1.338063727132976,14350,14350
