dataset_name,run_name,model_name,image_size,class_name,true_positive_rate,predicted_positive_rate,accuracy,f1,auc
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,atelectasis,0.09974151104688644,0.8342989683151245,0.257063909439344,0.2045996755415593,0.6852891991612029
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,cardiomegaly,0.021392280235886574,0.015242000110447407,0.966218022996702,0.07785888077858881,0.7131072198439444
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,effusion,0.11516177654266357,0.7173544764518738,0.3839023085836527,0.2599571734475375,0.7501300905277255
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,infiltration,0.17987342178821564,1.0,0.1798734290043676,0.30490292362317745,0.6286252496146786
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,mass,0.05570906400680542,0.33336305618286133,0.6710045458597023,0.15441008018327607,0.6609466490466301
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,nodule,0.05463945120573044,0.7426686882972717,0.2855869507086193,0.10396869759642258,0.5423279906507412
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,pneumonia,0.011854888871312141,0.0,0.9881451109724574,0.0,0.654174675367835
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,pneumothorax,0.04492378979921341,0.23495855927467346,0.767715482663339,0.1700636942675159,0.7212191409461592
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,consolidation,0.0398431234061718,0.2543007433414459,0.7541670380604332,0.16424242424242425,0.7369527717481149
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,edema,0.017826899886131287,0.1249665766954422,0.8757465014707193,0.12983770287141075,0.8308864234504039
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,emphysema,0.018539976328611374,0.0012478830758482218,0.9803904091273732,0.009009009009009009,0.6533680480358802
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,fibrosis,0.01479632779955864,0.0,0.9852036723415635,0.0,0.6440327491091662
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,pleural,0.03315803408622742,0.011230947449803352,0.9589981281754167,0.07630522088353414,0.676874384771172
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,hernia,0.0036545146722346544,0.0,0.9963454853373741,0.0,0.7170356405657454
