dataset_name,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1-img,1,1,0.05,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,2-img,2,1,0.05,1,10,1.5,0.5026556842578459,0.003448930318984898,0.01861943971602119,0.02078985734761579,0.07408466833003065,0.08942817830251648,0.9166286783899762,0.3375701934218736
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,5-img,5,3,0.05,1,10,3.1,0.5043207461048943,0.0042138933884305705,0.03523584788649214,0.019784965653642288,0.14343947188641532,0.0724001063283278,0.8363980746947144,0.12353150904715215
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,10,5,0.05,1,10,4.9,0.511581663900229,0.009205208332931142,0.049901707468870855,0.018396351106411617,0.1444023431960763,0.04913818435331413,0.7902894324678797,0.06607540779035564
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,20,5,0.05,1,10,7.6,0.5199372447771173,0.013566843023104706,0.06952652486443278,0.014203435780708503,0.15170774597341596,0.028607335117639843,0.801560490494442,0.07243069792316606
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,25,5,0.05,1,10,8.2,0.518496745340033,0.012296611581439321,0.07149207468923424,0.01314945888354965,0.14991236079769857,0.02159398207171478,0.8040530732303617,0.05406007665567342
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,50-img,50,10,0.05,1,10,11.1,0.5252975072934835,0.016484721834511596,0.08859263671213786,0.008502158574988065,0.14658578566317765,0.010939751802031505,0.6659735397858225,0.00977805508512345
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,100-img,100,20,0.05,1,10,12.7,0.5423983154592786,0.010130471815934416,0.09766485952796042,0.003559207000400393,0.14079861795547724,0.008850483661353215,0.5329301058153898,0.0002852304126927534
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,500-img,500,50,0.05,3,10,13.6,0.5853007949807528,0.008490051178273408,0.10544242695092536,0.004301548935667189,0.1839571462741994,0.007093598870721217,0.697670406071333,0.005820483109011498
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,1000-img,1000,50,0.05,3,10,13.8,0.5936174795983582,0.004724820868839942,0.10981589147023689,0.003265831256817747,0.18533873148471877,0.0052844472944091215,0.695564921752639,0.005900704162581335
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,5000-img,5000,100,0.05,5,10,14.0,0.623384971848013,0.006602061811922236,0.11771469486266495,0.002545949800162022,0.20651760109535927,0.004291406346090194,0.737488699018247,0.01204207148587218
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,full,78468,2000,0.05,100,1,14.0,0.6867835880599573,,0.1182253916031754,,0.2070187369136885,,0.7178829281957902,0.0039219181745253585
