dataset_name,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,neighbor_fraction,classes_with_positive_train_examples,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,0,10,5,0.05,1,0.5,2,0.5045550154300515,0.8903900271223563,0.07407077279614939,0.02394324754724788,0.1897590361445783
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,1,10,5,0.05,1,0.5,5,0.51904334409772,0.7783861561381841,0.00953739192441394,0.06338596902003267,0.1997057065342346
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,2,10,5,0.05,1,0.5,5,0.5325466766440544,0.8024206384577185,0.04189321686424815,0.06113790794523051,0.18099284790583517
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,3,10,5,0.05,1,0.5,5,0.5029006463170116,0.7404848917015777,0.029770924324806134,0.05821978947282593,0.17422661615445392
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,4,10,5,0.05,1,0.5,3,0.5049763860434446,0.91474921370634,0.4581513503877351,0.02133238484681102,0.06219358453564925
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,5,10,5,0.05,1,0.5,5,0.5107001896692605,0.7545172093260158,0.004724128710223727,0.04909534907542523,0.1088589456167518
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,6,10,5,0.05,1,0.5,8,0.5163296504531201,0.6583219792953281,0.0,0.06243647993965267,0.11325181758096498
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,7,10,5,0.05,1,0.5,3,0.5043505082633414,0.8698063234563814,0.026829485693912112,0.028130674878666762,0.09296961632290973
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,8,10,5,0.05,1,0.5,6,0.5133425525338756,0.8209096812804809,0.01559853819413495,0.0706495117434255,0.1941730884922795
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,10-img,9,10,5,0.05,1,0.5,7,0.5070716695504105,0.6729082041944151,0.00017826900793297085,0.06068576021939034,0.12789217267310599
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,0,20,5,0.05,1,0.25,6,0.5152079734216083,0.7876943450523984,0.03592120509849363,0.06017560289224729,0.1539983762938908
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,1,20,5,0.05,1,0.25,9,0.5473541961381928,0.7458838959418335,0.0038327836705588734,0.09234946765050679,0.173387180283732
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,2,20,5,0.05,1,0.25,9,0.5297875404760618,0.8176053378834377,0.05535252696318745,0.0860381682076228,0.16957504782885965
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,3,20,5,0.05,1,0.25,5,0.512880001520798,0.8819413494963902,0.354577056778679,0.0589829680467858,0.18121605510663663
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,4,20,5,0.05,1,0.25,8,0.5031884093450708,0.8312492837405933,0.16962296104822178,0.05602016071040227,0.11546804605372935
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,5,20,5,0.05,1,0.25,6,0.522773304844482,0.8243158926820572,0.06275069079240574,0.057148707872200465,0.11569029611588258
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,6,20,5,0.05,1,0.25,10,0.5307362489108404,0.7360026995021202,0.0015152865674302523,0.08536866590264555,0.13846121880778742
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,7,20,5,0.05,1,0.25,8,0.5024507283402281,0.8179618758993035,0.017559497281397628,0.055086108659211784,0.11529178785815954
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,8,20,5,0.05,1,0.25,7,0.5149699701262346,0.8176308048845708,0.013281041091006328,0.06924886425543088,0.18942781142113305
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,20-img,9,20,5,0.05,1,0.25,8,0.5200240746476567,0.7553194198617142,0.009893929940279883,0.07484653444727414,0.1645616399643486
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,0,25,5,0.05,1,0.2,6,0.5111743211396466,0.8192734264576675,0.08280595418486496,0.056803970627039284,0.14494849087294415
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,1,25,5,0.05,1,0.2,9,0.5450448901368752,0.7666904358677245,0.011587485515643106,0.0922967401628617,0.17564618810878907
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,2,25,5,0.05,1,0.2,9,0.5258727394964814,0.8210752167878473,0.038684374721454674,0.0862772722358652,0.16437215664119414
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,3,25,5,0.05,1,0.2,9,0.5158976479760392,0.7967669642061299,0.0752295213477137,0.0720882250292972,0.13009946859245128
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,4,25,5,0.05,1,0.2,8,0.5055143940773934,0.837883437535813,0.168196808984758,0.057083728080403004,0.12483244543736037
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,5,25,5,0.05,1,0.2,7,0.5159500609693928,0.791940967491373,0.028523041269275337,0.06512742576511497,0.13778000580459618
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,6,25,5,0.05,1,0.2,10,0.5258186158396908,0.7537977665440005,0.0036545146626259027,0.08200836559149191,0.14537659123055163
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,7,25,5,0.05,1,0.2,8,0.5017246112697381,0.8298040314262795,0.031821017916035296,0.055258182397646474,0.1278872504241159
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,8,25,5,0.05,1,0.2,7,0.5150570362176049,0.8540931837571468,0.08182547464123362,0.06879524287460141,0.1892092694144702
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,25-img,9,25,5,0.05,1,0.2,9,0.5229131362774678,0.769205302229636,0.018272573313129512,0.0791815941280213,0.15897174145051274
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,50-img,0,50,10,0.05,1,0.2,10,0.5149275285522174,0.7221613843861816,0.004813263214190213,0.08144563266059093,0.14314045043099216
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,50-img,1,50,10,0.05,1,0.2,11,0.5415867113302919,0.5737206015305667,8.913450396648542e-05,0.0942359823724892,0.14549352936672028
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,50-img,2,50,10,0.05,1,0.2,13,0.520037048156051,0.6608750461589395,0.0008022105356983688,0.09691083838444658,0.14921654128132636
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,50-img,3,50,10,0.05,1,0.2,12,0.5309532777583049,0.6893726204270816,0.020144397896425706,0.09368885426416598,0.15635212948072832
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,50-img,4,50,10,0.05,1,0.2,11,0.5027811719319429,0.7579170539773088,0.04733042160620376,0.07288930419982732,0.1272923408845739
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,50-img,5,50,10,0.05,1,0.2,11,0.535844796429794,0.6941158493881554,0.0021392280951956504,0.09331942876716563,0.1622083493181739
chestmnist,dinov3_large_224,facebook/dinov3-vitl16-pretrain-lvd1689m,224,50-img,6,50,10,0.05,1,0.2,12,0.547749563648163,0.6239988285179477,0.0,0.09955074120727524,0.14532771820142115
