dataset_name,adaptation_method,run_name,model_name,image_size,batch_size,probe_batch_size,data_fraction,dataset_seed,normalize_features,train_trial_id,lr,weight_decay,epoch,train_loss,train_mean_accuracy,train_f1_macro,train_f1_micro,val_loss,val_mean_auc,val_mean_accuracy,val_exact_match_accuracy,val_f1_macro,val_f1_micro,train_epoch_seconds,val_eval_seconds,epoch_seconds
chestmnist,linear_probe,dinov2_small_224,facebook/dinov2-small,224,32,512,1.0,0,True,train_trial_000,0.0001,0.0,1,0.655912847039337,0.8275111237337878,0.036163683044151976,0.0430768919997172,0.6118537318112538,0.5449431340644947,0.94920606623967,0.5418486496122649,0.0,0.0,0.9718503931071609,0.19772170204669237,1.9684357680380344
chestmnist,linear_probe,dinov2_small_224,facebook/dinov2-small,224,32,512,1.0,0,True,train_trial_000,0.0001,0.0,2,0.5740682783826639,0.9485686612923195,0.0,0.0,0.5374664774987881,0.5558930261818354,0.94920606623967,0.5418486496122649,0.0,0.0,0.8976277499459684,0.19846662390045822,1.6930251601152122
chestmnist,linear_probe,dinov2_small_224,facebook/dinov2-small,224,32,512,1.0,0,True,train_trial_000,0.0001,0.0,3,0.5065267995776961,0.9485686612923195,0.0,0.0,0.4762763698472517,0.5591625582978049,0.94920606623967,0.5418486496122649,0.0,0.0,0.9108828930184245,0.17093855398707092,1.6816029101610184
chestmnist,linear_probe,dinov2_small_224,facebook/dinov2-small,224,32,512,1.0,0,True,train_trial_000,0.0001,0.0,4,0.4510772661959936,0.9485686612923195,0.0,0.0,0.42609910112415916,0.5606576741684016,0.94920606623967,0.5418486496122649,0.0,0.0,0.6800750258844346,0.19809700804762542,1.5025296569801867
chestmnist,linear_probe,dinov2_small_224,facebook/dinov2-small,224,32,512,1.0,0,True,train_trial_000,0.0001,0.0,5,0.40565567862618657,0.9485686612923195,0.0,0.0,0.3850087853254338,0.5617402409248624,0.94920606623967,0.5418486496122649,0.0,0.0,1.10439912811853,0.1967425881884992,1.9171940730884671
chestmnist,linear_probe,dinov2_small_224,facebook/dinov2-small,224,32,512,1.0,0,True,train_trial_000,0.0001,0.0,6,0.36845495526947525,0.9485686612923195,0.0,0.0,0.3513138409588084,0.5626659724422405,0.94920606623967,0.5418486496122649,0.0,0.0,0.9335426769685,0.20839266409166157,1.7391910220030695
chestmnist,linear_probe,dinov2_small_224,facebook/dinov2-small,224,32,512,1.0,0,True,train_trial_000,0.0001,0.0,7,0.33793440399023106,0.9485686612923195,0.0,0.0,0.32360430624047454,0.5635465749567102,0.94920606623967,0.5418486496122649,0.0,0.0,0.9116454611066729,0.1954101580195129,1.7017520889639854
chestmnist,linear_probe,dinov2_small_224,facebook/dinov2-small,224,32,512,1.0,0,True,train_trial_000,0.0001,0.0,8,0.3128147336672453,0.9485686612923195,0.0,0.0,0.30077047917929783,0.564485236821451,0.94920606623967,0.5418486496122649,0.0,0.0,1.0910842039156705,0.19460531906224787,1.8771944509353489
chestmnist,linear_probe,dinov2_small_224,facebook/dinov2-small,224,32,512,1.0,0,True,train_trial_000,0.0001,0.0,9,0.2920699855867691,0.9485686612923195,0.0,0.0,0.2818595862917769,0.5654377671585434,0.94920606623967,0.5418486496122649,0.0,0.0,0.8879476329311728,0.2737581329420209,1.982992070959881
chestmnist,linear_probe,dinov2_small_224,facebook/dinov2-small,224,32,512,1.0,0,True,train_trial_000,0.0001,0.0,10,0.2748697805706682,0.9485686612923195,0.0,0.0,0.2661316326801679,0.5664401360808684,0.94920606623967,0.5418486496122649,0.0,0.0,1.1154082799330354,0.20130845322273672,1.948317214846611
