dataset_name,adaptation_method,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,1,1,0.01,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,1,1,0.03,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,1,1,0.05,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,1,1,0.1,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,1,1,0.15,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,1,1,0.2,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,1,1,0.3,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,1-img,1,1,0.5,1,10,0.6,0.5,0.0,0.008634762453113598,0.013677635223665366,0.06246281188392975,0.09323951550056986,0.9163459946773967,0.34395222390587393
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,2,1,0.01,1,10,1.5,0.5016538597391527,0.0052675357583808775,0.01798333737941029,0.019780796270214573,0.07259159368276219,0.08259050410778516,0.9141793895559829,0.33085836527319723
chestmnist,frozen_feature_knn,dinov2_small_224,facebook/dinov2-small,224,2-img,2,1,0.03,1,10,1.5,0.5016538597391527,0.0052675357583808775,0.01798333737941029,0.019780796270214573,0.07259159368276219,0.08259050410778516,0.9141793895559829,0.33085836527319723
