dataset_name,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,neighbor_fraction,classes_with_positive_train_examples,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,0,10,5,0.05,1,0.5,2,0.5048331809093284,0.876968917525117,0.058026562082182015,0.02382169047244137,0.1686456720013767
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,1,10,5,0.05,1,0.5,5,0.5093530037216987,0.724154177224861,0.001693555575363223,0.06090707711040537,0.1833295634471839
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,2,10,5,0.05,1,0.5,5,0.5108806049910254,0.8073930704289918,0.04118014083251627,0.052270076057163564,0.16245847176079733
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,3,10,5,0.05,1,0.5,5,0.500830559728864,0.8034902525053162,0.06319636331223817,0.05543298642291972,0.1810173269297105
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,4,10,5,0.05,1,0.5,3,0.5047756729878834,0.8877732927559114,0.37463232017113823,0.02072798506982385,0.06917674394043408
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,5,10,5,0.05,1,0.5,5,0.5053165246208425,0.7542179720626996,8.913450396648542e-05,0.04716156561770463,0.1205576817933297
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,6,10,5,0.05,1,0.5,8,0.5153440057839024,0.7047801561127169,0.0,0.06137968098743674,0.10149785881760226
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,7,10,5,0.05,1,0.5,3,0.5019120787587641,0.862007054359314,0.04447811747927623,0.023056894988523643,0.07383984274848304
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,8,10,5,0.05,1,0.5,6,0.5138378395593138,0.8214253880534298,0.01559853819413495,0.06615226440101578,0.15267959639900913
chestmnist,dinov2_small_224,facebook/dinov2-small,224,10-img,9,10,5,0.05,1,0.5,7,0.5090594144652935,0.7316478423083289,0.012122292539442019,0.05447760659499723,0.11531599605398485
chestmnist,dinov2_small_224,facebook/dinov2-small,224,20-img,0,20,5,0.05,1,0.25,6,0.5048375637680712,0.7745724727184751,0.010250467956145823,0.057944331084253356,0.16238082846395874
chestmnist,dinov2_small_224,facebook/dinov2-small,224,20-img,1,20,5,0.05,1,0.25,9,0.541876899712552,0.6956056689544522,0.0015152865674302523,0.08733175651362055,0.16886864613031083
chestmnist,dinov2_small_224,facebook/dinov2-small,224,20-img,2,20,5,0.05,1,0.25,9,0.5170894890743659,0.7933607528045535,0.01693555575363223,0.07691584151822954,0.15351311877314694
chestmnist,dinov2_small_224,facebook/dinov2-small,224,20-img,3,20,5,0.05,1,0.25,5,0.5047938646345206,0.9157869940025213,0.3805151974329263,0.04331275537846935,0.1576768770298669
chestmnist,dinov2_small_224,facebook/dinov2-small,224,20-img,4,20,5,0.05,1,0.25,8,0.5032934881776432,0.8353176371716348,0.1951154291826366,0.05469991983701804,0.11021671826625387
